listing_id,detail_url,province,district,granularity,provenance,address_raw,address_sanitized,geocoder,query_used,status,latitude,longitude,display_name,admin_match,spatial_precision,spatially_useful,quality_tier,candidate_count,error_type,error_message
178659,https://batdongsan.vn/chinh-chu-ban-hxh-182m-duong-le-thi-bach-cat-phuong-11-quan-11-dt-415x20m-gia-chi-115-ty-r178659,Hồ Chí Minh,Quận 11,street_and_ward,title,"Đường Lê Thị Bạch Cát, Phường 11, Quận 11",Đường Lê Thị Bạch Cát Phường 11 Quận 11,Nominatim,"Đường Lê Thị Bạch Cát Phường 11 Quận 11, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
152347,https://batdongsan.vn/c176-nha-2-tang-hxh-san-thu-nhap-13trthang-chi-hon-3-ty-r152347,Hồ Chí Minh,Quận 7,alley_or_lane,title,C176 🔥 Nhà 2 tầng HXH  – sẵn thu nhập 13tr/tháng – Chỉ hơn 3 tỷ !!!,C176 Nhà Hẻm,Nominatim,"C176 Nhà Hẻm, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
159657,https://batdongsan.vn/huong-lo-2-68m-hem-6m-395-tyy-r159657,Hồ Chí Minh,Bình Tân,alley_or_lane,title,Hẻm 6m - 3.95 tỷy,Hẻm 3 95 tỷy,Nominatim,"Hẻm 3 95 tỷy, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
183292,https://batdongsan.vn/nha-sat-mat-tien-tx22-1-xec-hem-7m-3-lau-full-noi-that-r183292,Hồ Chí Minh,Quận 12,alley_or_lane,dedicated_address,"122/4A Thạnh Xuân 22, Quận 12 – Hẻm 1 sẹc, di chuyển thuận tiện",122/4A Thạnh Xuân 22 Quận 12 Hẻm 1 sẹc di chuyển thuận tiện,Nominatim,"122/4A Thạnh Xuân 22 Quận 12 Hẻm 1 sẹc di chuyển thuận tiện, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
176461,https://batdongsan.vn/nha-chua-co-tren-thi-truong-bt-luong-dinh-cua-35ty-r176461,Hồ Chí Minh,Quận 2,unclear,dedicated_address,"280F18 Lương Định Của , Phường An Phú , Quận 2",280F18 Lương Định Của Phường An Phú Quận 2,Nominatim,"280F18 Lương Định Của Phường An Phú Quận 2, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
129129,https://batdongsan.vn/ban-nha-mat-tien-6-tang-72x25m-gia-1699-ty-duong-tan-thoi-hiep-14-r129129,Hồ Chí Minh,Quận 12,unclear,title,mặt tiền 6 tầng 7,7,Nominatim,"7, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",SUCCESS,10.8611305,106.6541962,"CĂN HỘ ZEN TOWER QUẬN 12, 34/1A, Phường Thới An, Thành phố Hồ Chí Minh, 71513, Việt Nam",ADMIN_MATCH,STREET,True,TIER_B_SPATIALLY_USEFUL,5,,
91699,https://batdongsan.vn/hxh-6m-le-duc-tho-4x12-53-ty-p15-go-vap-r261873,Hồ Chí Minh,Gò Vấp,alley_or_lane,title,"Hxh 6m Lê Đức Thọ 4x12 5,3 tỷ P15 Gò Vấp",Hẻm Lê Đức Thọ,Nominatim,"Hẻm Lê Đức Thọ, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
83458,https://batdongsan.vn/can-ban-nha-hem-huynh-tan-phat-phu-thuan-quan-7-38m2-r253618,Hồ Chí Minh,Quận 7,alley_or_lane,title,hẻm Huỳnh Tấn Phát – Phú Thuận - Quận 7 – 38m2,hẻm Huỳnh Tấn Phát Phú Thuận Quận 7,Nominatim,"hẻm Huỳnh Tấn Phát Phú Thuận Quận 7, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
155893,https://batdongsan.vn/mt-khung-15x25m-truong-thi-hoa-q12-vi-tri-vang-cho-cafe-ngan-hang-tiem-vang-r155893,Hồ Chí Minh,Quận 12,street_only,title,"MT KHỦNG (15x25m) – TRƯƠNG THỊ HOA, Q12 – VỊ TRÍ VÀNG CHO CAFE, NGÂN HÀNG, TIỆM VÀNG",MT KHỦNG TRƯƠNG THỊ HOA Q12 VỊ TRÍ VÀNG CHO CAFE NGÂN HÀNG TIỆM VÀNG,Nominatim,"MT KHỦNG TRƯƠNG THỊ HOA Q12 VỊ TRÍ VÀNG CHO CAFE NGÂN HÀNG TIỆM VÀNG, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
117956,https://batdongsan.vn/binh-thanh-nguyen-van-dau-hem-xe-hoi-thong-tu-tung-qua-cho-hoang-hoa-tham-ngang-4m-khu-dan-cu-r117956,Hồ Chí Minh,Bình Thạnh,alley_or_lane,title,HẺM XE HƠI THÔNG TỨ TUNG QUA CHỢ HOÀNG HOA THÁM,Hẻm THÔNG TỨ TUNG QUA CHỢ HOÀNG HOA THÁM,Nominatim,"Hẻm THÔNG TỨ TUNG QUA CHỢ HOÀNG HOA THÁM, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
88558,https://batdongsan.vn/hxh-phan-van-tri-2-lau-5x17-67-ty-p5-go-vap-r258728,Hồ Chí Minh,Gò Vấp,alley_or_lane,title,Hxh Phan Văn Trị 2 lầu 5x17 6.7 tỷ P5 Gò Vấp,Hẻm Phan Văn Trị,Nominatim,"Hẻm Phan Văn Trị, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
166949,https://batdongsan.vn/duoi-3-ty-shr-gan-song-sai-gon-ban-nha-thanh-loc-ho-tro-vay-bank-toi-da-r166949,Hồ Chí Minh,Quận 12,landmark_only,title,"Dưới 3 tỷ SHR gần sông Sài Gòn, bán nhà Thạnh Lộc hỗ trợ vay Bank tối đa",Dưới Thạnh Lộc hỗ trợ vay Bank tối đa,Nominatim,"Dưới Thạnh Lộc hỗ trợ vay Bank tối đa, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
183145,https://batdongsan.vn/ban-dat-tang-nha-3-lau-mat-tien-duong-khu-dan-cu-hong-long-hiep-binh-phuoc-thanh-pho-thu-duc-r183145,Hồ Chí Minh,Thủ Đức,project_or_residential_area,dedicated_address,"mặt tiền đường xe hơi 12m đường bàn cờ Khu dân cư hồng Long ra hiệp bình, cách quốc lộ 13 chỉ 300m, về KĐT Vạn Phúc, đại học luật, chợ Hiệp Bình, từ 3 -5 phút, bán kính 1km đầy đủ các tiện ích thích hợp gia đình ở hay nua cho thuê làm văn phòng công ty,",đường xe hơi đường bàn cờ Khu dân cư hồng Long ra hiệp bình cách quốc lộ 13 chỉ về KĐT Vạn Phúc đại học luật chợ Hiệp Bình từ 3 5 phút bán kính 1km đầy đủ các tiện ích thích hợp gia đình ở hay nua cho thuê làm văn phòng công ty,Nominatim,"đường xe hơi đường bàn cờ Khu dân cư hồng Long ra hiệp bình cách quốc lộ 13 chỉ về KĐT Vạn Phúc đại học luật chợ Hiệp Bình từ 3 5 phút bán kính 1km đầy đủ các tiện ích thích hợp gia đình ở hay nua cho thuê làm văn phòng công ty, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
143744,https://batdongsan.vn/ban-nha-mat-tien-tung-thien-vuong-4x16-chi-16-ty-9-r143744,Hồ Chí Minh,Quận 8,unclear,title,mặt tiền Tùng Thiện Vương 4x16 chỉ 16 tỷ 9,Tùng Thiện Vương 9,Nominatim,"Tùng Thiện Vương 9, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
193552,https://batdongsan.vn/nha-dep-gia-mem-5x15-hem-6m-tch10-quan-12-co-hoi-chot-nhanh-r193552,Hồ Chí Minh,Quận 12,alley_or_lane,title,HẺM 6M TCH10 QUẬN 12 – CƠ HỘI CHỐT NHANH!,HẺM TCH10 QUẬN 12 CƠ HỘI CHỐT NHANH,Nominatim,"HẺM TCH10 QUẬN 12 CƠ HỘI CHỐT NHANH, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
187365,https://batdongsan.vn/nha-moi-hiem-ngang-7m-gan-ga-t3-tang-full-noi-that-cao-cap-r187365,Hồ Chí Minh,Gò Vấp,street_only,title,"NHÀ MỚI HIẾM NGANG 7M – GẦN GA T3, TẶNG FULL NỘI THẤT CAO CẤP",GẦN GA T3 CAO CẤP,Nominatim,"GẦN GA T3 CAO CẤP, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",SUCCESS,10.8158694,106.6846752,"Gò Vấp, Hẻm 168 Phạm Văn Đồng, Khu phố 36, Phường Hạnh Thông, Thành phố Hồ Chí Minh, 71409, Việt Nam",ADMIN_MATCH,UNKNOWN,False,TIER_D_ADMIN_ONLY,2,,
150381,https://batdongsan.vn/hem-xe-hoi-thong-dt-52m2-x-2tang-x-ngang-4m-quang-trung-p14-go-vap-chi-52-ty-r150381,Hồ Chí Minh,Gò Vấp,alley_or_lane,title,HẺM XE HƠI THÔNG DT 52M2 x 2TẦNG x NGANG 4M,Hẻm THÔNG x x,Nominatim,"Hẻm THÔNG x x, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
120070,https://batdongsan.vn/ngay-ubnd-phuong-16-hem-3m-dt-39-x-11m-btct-3-tang-r120070,Hồ Chí Minh,Gò Vấp,full_address,title,Hẻm 3m - DT 3.9 x 11m - BTCT 3 Tầng,Hẻm DT 3 9 x BTCT,Nominatim,"Hẻm DT 3 9 x BTCT, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",NO_RESULT,,,,UNKNOWN,UNKNOWN,False,TIER_E_NO_RESULT,0,,
